MODIFIED_ZCTA,02-Apr-2020,03-Apr-2020,04-Apr-2020,05-Apr-2020,06-Apr-2020,07-Apr-2020,08-Apr-2020,09-Apr-2020,10-Apr-2020,11-Apr-2020,12-Apr-2020,13-Apr-2020,14-Apr-2020,15-Apr-2020,16-Apr-2020,17-Apr-2020,18-Apr-2020,19-Apr-2020,20-Apr-2020,21-Apr-2020,22-Apr-2020,23-Apr-2020,24-Apr-2020,25-Apr-2020,26-Apr-2020,27-Apr-2020,28-Apr-2020,29-Apr-2020,30-Apr-2020,01-May-2020,02-May-2020,03-May-2020,04-May-2020,05-May-2020,06-May-2020,07-May-2020,08-May-2020,09-May-2020,10-May-2020,11-May-2020,12-May-2020,13-May-2020,14-May-2020,15-May-2020,16-May-2020,17-May-2020,18-May-2020,19-May-2020,20-May-2020,21-May-2020,22-May-2020,23-May-2020,24-May-2020,25-May-2020,26-May-2020,27-May-2020,28-May-2020,29-May-2020,30-May-2020,31-May-2020,01-Jun-2020,02-Jun-2020,03-Jun-2020,04-Jun-2020,05-Jun-2020,06-Jun-2020,07-Jun-2020,08-Jun-2020,09-Jun-2020,10-Jun-2020,11-Jun-2020,12-Jun-2020,13-Jun-2020,14-Jun-2020,15-Jun-2020,16-Jun-2020,17-Jun-2020,18-Jun-2020,19-Jun-2020,20-Jun-2020,21-Jun-2020,22-Jun-2020,23-Jun-2020,24-Jun-2020,25-Jun-2020,26-Jun-2020,27-Jun-2020,28-Jun-2020,30-Jun-2020,01-Jul-2020,02-Jul-2020,03-Jul-2020,04-Jul-2020,05-Jul-2020,06-Jul-2020,07-Jul-2020,08-Jul-2020,09-Jul-2020,10-Jul-2020,11-Jul-2020,12-Jul-2020,13-Jul-2020,14-Jul-2020,15-Jul-2020,16-Jul-2020,17-Jul-2020,18-Jul-2020,19-Jul-2020,20-Jul-2020,21-Jul-2020,22-Jul-2020,23-Jul-2020,24-Jul-2020,25-Jul-2020,26-Jul-2020,27-Jul-2020,28-Jul-2020,29-Jul-2020,30-Jul-2020,31-Jul-2020,01-Aug-2020,02-Aug-2020,03-Aug-2020,04-Aug-2020,05-Aug-2020,06-Aug-2020,07-Aug-2020,08-Aug-2020,09-Aug-2020,10-Aug-2020,11-Aug-2020,12-Aug-2020,13-Aug-2020,14-Aug-2020,15-Aug-2020,16-Aug-2020,17-Aug-2020,18-Aug-2020,19-Aug-2020,20-Aug-2020,21-Aug-2020,22-Aug-2020,23-Aug-2020,24-Aug-2020,25-Aug-2020,26-Aug-2020,27-Aug-2020,28-Aug-2020,29-Aug-2020,30-Aug-2020,31-Aug-2020,01-Sep-2020,02-Sep-2020,03-Sep-2020,04-Sep-2020,05-Sep-2020,07-Sep-2020,08-Sep-2020,09-Sep-2020,10-Sep-2020,11-Sep-2020,12-Sep-2020,14-Sep-2020,15-Sep-2020,16-Sep-2020,17-Sep-2020,18-Sep-2020,19-Sep-2020,20-Sep-2020,21-Sep-2020,22-Sep-2020,23-Sep-2020,24-Sep-2020,25-Sep-2020,26-Sep-2020,27-Sep-2020,28-Sep-2020,29-Sep-2020,30-Sep-2020,01-Oct-2020,02-Oct-2020,03-Oct-2020,04-Oct-2020,05-Oct-2020,06-Oct-2020
10001,0,23,10,12,0,12,8,13,6,4,10,10,10,7,4,9,3,6,1,5,2,9,8,3,87,-76,1,1,2,1,2,3,2,3,-1,0,1,0,4,2,1,0,2,4,2,5,1,1,1,1,5,5,1,0,0,2,3,0,4,3,0,-1,2,1,3,0,0,0,2,4,2,2,1,0,0,0,2,0,0,2,0,0,0,1,1,0,3,0,1,3,0,1,3,0,0,2,1,1,4,2,0,0,0,4,1,1,0,2,1,2,0,0,0,2,0,0,0,1,2,1,-1,1,2,-1,3,4,3,-1,0,0,0,0,0,0,2,0,0,0,1,4,0,2,2,0,-3,1,0,0,1,0,0,0,0,3,0,1,3,0,2,3,-2,2,2,0,0,-2,2,1,1,-1,1,1,1,0,0,0,1,0,-1,1,4,-4,0,1,0
10002,0,67,24,19,0,45,16,35,36,8,39,15,24,67,21,19,10,17,4,13,4,23,18,6,198,-170,20,4,5,11,14,8,8,12,9,6,2,8,9,6,1,3,2,15,14,5,5,4,5,2,8,8,5,4,1,0,5,1,9,8,0,3,3,3,5,3,2,2,1,4,1,1,1,1,1,4,4,0,2,1,2,1,1,2,2,2,2,1,6,4,2,4,11,12,1,6,3,6,4,2,7,7,4,6,8,11,5,6,2,7,1,3,0,9,-1,0,1,1,1,4,4,4,9,4,3,8,4,3,6,5,1,1,4,3,7,5,1,1,4,1,5,2,1,3,2,0,5,2,1,2,1,0,2,0,1,2,3,0,0,3,-1,0,3,0,4,4,1,0,2,1,3,2,4,2,0,1,2,1,10,2,1,1,2,2,1
10003,0,30,7,12,0,20,8,15,11,3,12,6,5,33,6,8,5,5,4,4,3,5,4,1,119,-109,3,1,5,2,3,4,3,3,4,1,0,3,3,1,0,6,2,2,1,1,4,1,1,2,3,2,0,0,0,1,2,3,0,0,0,1,2,-1,0,2,1,0,1,0,0,2,0,0,0,0,1,2,2,0,1,1,3,1,1,0,4,1,1,1,1,2,6,3,0,2,2,2,0,2,0,0,1,2,1,1,0,4,1,2,0,1,1,2,0,0,3,3,1,1,0,0,0,0,0,0,3,-1,1,0,2,1,1,1,1,0,0,0,0,3,4,2,1,1,0,1,0,1,0,4,0,1,3,1,2,4,2,0,0,4,4,1,4,2,0,2,1,7,2,0,0,1,1,0,2,3,0,2,3,2,2,5,4,2,3
10004,0,3,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,-1,1,10,-10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,1
10005,0,3,0,1,0,3,0,4,0,1,1,1,1,1,1,2,0,0,0,0,0,1,2,1,11,-10,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,1,2,1,1,0,1,0,0,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,0,0,0,1,1,0,0,0,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,-1,1,0,1
10006,0,1,0,0,0,1,0,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,0,1,6,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
10007,0,2,1,0,0,1,0,1,1,0,2,0,1,0,1,1,2,1,1,1,0,0,4,0,4,-4,-1,0,0,0,2,2,0,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,1,0,1,1,0,2,1,0,-1,0,0,0,0,0,1
10009,0,55,17,9,0,36,10,25,15,1,32,8,18,63,10,14,7,17,4,8,0,17,6,8,99,-81,8,5,5,4,4,2,3,3,1,2,1,8,6,0,0,5,1,9,5,2,4,1,1,0,4,1,3,2,1,0,6,5,4,2,0,0,0,1,1,0,0,2,2,2,4,0,1,0,1,1,2,0,1,3,3,1,1,2,1,4,0,2,2,2,2,4,1,3,1,6,1,2,0,4,3,1,1,5,3,0,1,2,5,3,0,2,-1,4,0,3,4,0,5,2,3,1,3,3,3,3,5,1,0,0,1,2,2,1,1,0,3,0,2,2,1,2,1,2,-1,1,-1,2,0,2,0,2,0,0,0,1,0,1,4,4,1,2,7,4,4,2,2,1,2,1,2,1,0,1,2,2,0,1,4,1,1,3,1,2,0
10010,0,17,1,2,0,12,4,13,8,2,6,3,6,13,2,5,5,1,1,1,1,6,5,1,61,-53,1,1,0,2,4,3,-1,3,0,2,0,2,0,1,0,0,3,4,1,1,0,0,0,2,0,1,1,0,0,1,1,1,0,0,3,0,3,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,-2,3,0,1,4,0,0,1,1,1,4,0,0,1,0,0,2,4,4,1,2,1,1,1,-1,3,0,0,1,0,0,1,0,0,0,1,0,2,1,4,-1,2,1,0,2,3,2,1,0,2,0,1,0,0,1,1,2,1,2,0,1,2,1,3,0,0,0,2,0,0,0,5,2,1,1,-1,0,1,0,2,2,0,1,1,0,0,2,0,1,3,2,2,1,1,0,2,1
10011,0,33,12,11,0,30,8,13,12,1,13,4,6,10,5,4,6,4,4,5,1,7,11,5,136,-114,1,1,1,1,5,2,3,6,2,2,1,2,0,1,1,2,1,5,2,1,4,1,0,1,6,4,1,1,1,1,3,1,3,0,0,0,1,2,0,1,2,0,0,0,1,0,0,0,0,2,1,1,0,0,1,1,3,0,0,1,0,0,4,0,0,0,1,1,2,2,1,1,0,5,4,0,3,1,3,1,1,1,5,5,1,2,2,4,-1,2,3,3,7,0,0,0,1,0,0,1,1,2,2,1,2,2,1,0,2,0,1,0,1,2,3,1,4,2,-1,3,-1,2,1,0,1,2,4,0,1,0,1,0,1,2,1,1,1,2,3,1,0,2,0,0,2,2,1,1,0,0,0,1,1,1,0,3,3,0,-1
